,match,level,r1,r2,r3,b1,b2,b3,red score,blue score,red rp,blue rp,video
55,42,qm,6657,6305,973,100,4010,253,95,42,4,0,https://www.youtube.com/watch/PcisTMq4Uqk
56,43,qm,7539,1422,5924,3512,115,7528,50,62,1,3,https://www.youtube.com/watch/AAXAmEDLCCY
57,44,qm,2543,3255,3970,3189,1280,5817,83,21,4,0,https://www.youtube.com/watch/TIIkb9wniK4
58,45,qm,3598,2485,8768,3257,253,6305,57,65,1,4,https://www.youtube.com/watch/_johgCuVX5w
59,46,qm,6619,1266,1422,7539,1323,1671,19,101,0,4,https://www.youtube.com/watch/9K3yDx7kJEM
60,47,qm,5274,100,973,4135,5940,6711,105,96,4,2,https://www.youtube.com/watch/o2DOgjtEWks
61,48,qm,3512,2073,6657,1661,115,4010,87,66,4,0,https://www.youtube.com/watch/7Zw6Bwp8JrQ
62,49,qm,2485,1266,2543,8768,7539,7528,56,31,3,0,https://www.youtube.com/watch/pAoOx7KpBtc
63,50,qm,5940,1323,3598,6711,6619,100,145,21,4,0,https://www.youtube.com/watch/cE_tcUOeU7Y
64,51,qm,3189,4135,3257,1671,5924,3512,61,56,2,1,https://www.youtube.com/watch/88f0qgbC0Cg
65,52,qm,2073,5817,4010,973,6305,115,55,86,0,3,https://www.youtube.com/watch/yrKVnvak8Wo
66,53,qm,253,1422,1661,3970,1280,6657,26,65,0,3,https://www.youtube.com/watch/bVzVs0DLpF4
67,54,qm,5274,7539,3512,6619,3257,3255,87,79,3,2,https://www.youtube.com/watch/MZDYYuKXHhM
68,55,qm,5940,115,5817,4135,2543,8768,64,35,2,0,https://www.youtube.com/watch/PzySupypjR8
69,56,qm,7528,3970,1323,6305,2073,2485,123,48,4,1,https://www.youtube.com/watch/YD62Ps7Jl6Y
70,57,qm,6657,5924,6711,3255,100,1422,38,64,0,3,https://www.youtube.com/watch/RC6v6g1r9zg
71,58,qm,1661,1671,3598,1266,4010,3189,70,49,2,0,https://www.youtube.com/watch/D9WcNFHvo2o
72,59,qm,253,5274,2485,1280,973,5940,31,118,0,3,https://www.youtube.com/watch/DkgjER7wFek
73,60,qm,6657,7539,6619,6305,4135,3512,68,55,4,1,https://www.youtube.com/watch/y5N3q30uqU4
74,61,qm,1661,8768,4010,5817,3598,5924,57,56,2,1,https://www.youtube.com/watch/wdER2_KhpN0
75,62,qm,1671,973,1280,1422,5274,1323,121,91,4,2,https://www.youtube.com/watch/87yjnhMsYts
76,63,qm,3189,100,115,3970,1266,253,46,64,0,3,https://www.youtube.com/watch/R34Zl86OB20
77,64,qm,7528,3255,2073,2543,6711,3257,85,69,4,1,https://www.youtube.com/watch/nHTzeWGPsHA
78,65,qm,2485,4135,6619,1280,7539,4010,63,54,3,0,https://www.youtube.com/watch/msReCZm4biA
79,66,qm,1323,115,6657,1422,973,5817,119,79,3,1,https://www.youtube.com/watch/ewN_wj__eOs
80,67,qm,3257,3512,7528,3970,6711,1661,81,88,1,3,https://www.youtube.com/watch/wFT5kCwe6eU
81,68,qm,1671,5940,3255,8768,5274,6305,138,61,4,1,https://www.youtube.com/watch/OTXmredzepg
82,69,qm,5924,2073,1266,2543,3189,253,59,62,0,3,https://www.youtube.com/watch/Af2ilLHsJgs
83,70,qm,3598,4010,1422,100,1323,4135,53,117,1,3,https://www.youtube.com/watch/wbgZzPN6YV0
84,71,qm,5817,1661,6657,2485,973,7539,35,105,1,4,https://www.youtube.com/watch/xrETAgf3ni0
85,72,qm,6619,6711,5274,1266,7528,115,40,41,0,2,https://www.youtube.com/watch/NCLTVknnSYU
86,73,qm,8768,3257,3970,1671,100,2543,41,35,2,0,https://www.youtube.com/watch/NU_F4Q94Z-E
87,74,qm,3512,3255,3189,253,3598,1280,42,44,0,2,https://www.youtube.com/watch/DtaQH4VWHJ4
88,75,qm,6305,5940,1266,5924,2073,115,98,67,3,1,https://www.youtube.com/watch/sE_1cNLQaUo
