,match,team,"team color","mobility","ground pick-up",locations,"game piece","auto count","auto climb","end climb","climb time","break time","defense time","drive skill","defense skill",speed,stability,"intake consistency",scouter,comments
270,48,100,blue,TRUE,FALSE,"[20, 24]","['b', 'y']",1,0,2,13,0,0,2,0,2,2,2,"25audreyc (1072)","cone dropped on drivetrain "
271,48,8048,red,TRUE,FALSE,"[26, 17, 32, 22, 21, 20, 19]","['b', 'b', 'b', 'b', 'b', 'b', 'b']",1,0,0,0,0,0,3,0,2,3,3,"26mihirk (1072)","Reliable lowest level bot, not much else."
272,48,1148,blue,FALSE,FALSE,"[14]","['b']",0,0,2,23,0,0,0,0,0,0,0,"25tiffanyg (1072)","- wasnt able to pickup cones effectively "
273,49,4738,red,FALSE,FALSE,"[13, 15, 3, 4, 13]","['y', 'y', 'y', 'b', 'm']",0,2,0,0,0,0,3,1,3,2,2,"25giae (1072)",""
274,49,6238,blue,TRUE,FALSE,"[32, 22]","['y', 'y']",0,0,0,0,0,2,0,0,0,0,0,"abbie s. (1072)",""
275,49,1072,blue,FALSE,FALSE,"[26, 7, 17, 16]","['b', 'y', 'b', 'y']",1,0,2,0,0,0,4,0,3,3,2,"25agastyar (1072)","I think we should form an alliance with this team."
276,49,7777,blue,TRUE,FALSE,"[]","[]",0,0,2,5,0,0,2,1,3,3,0,"25atharvg (1072)","Intake broken so they were trying to push pieces instead but they were really bad."
277,49,2288,red,FALSE,TRUE,"[20, 26, 25, 15]","['b', 'b', 'b', 'b']",1,0,2,5,0,0,0,0,1,0,2,"26alberty (1072)","- unstable, also can't drive really well and bump into other teams\n- probably can be well-defended against\n- nothing too distinctive, but not really bad ig"
278,49,2135,red,TRUE,FALSE,"[27, 26, 25, 24, 14]","['b', 'b', 'b', 'b', 'b']",1,0,2,5,0,0,2,0,3,3,2,"26mihirk (1072)","Decent with consistent scoring at the bottom."
279,50,5026,blue,FALSE,FALSE,"[]","[]",0,0,0,0,0,0,0,0,0,0,0,"25atharvg (1072)","MIA"
280,50,9202,blue,TRUE,FALSE,"[]","[]",0,2,2,2,0,95,0,0,0,0,0,"abbie s. (1072)","no intake, only defense\n"
281,50,840,blue,TRUE,FALSE,"[1, 2, 3, 4]","['b', 'b', 'b', 'y']",1,0,2,0,0,0,2,0,2,2,1,"25agastyar (1072)","Can only score on the bottom row"
282,50,5026,blue,FALSE,FALSE,"[8, 7]","['y', 'b']",0,0,0,0,0,0,2,1,2,3,0,"25atharvg (1072)","They had a game piece stuck on their drivetrain so they couldn’t pick anything up. They tried pushing pieces but weren’t that good at it."
283,50,3189,red,FALSE,FALSE,"[10]","['b']",0,1,1,0,0,13,2,0,2,2,2,"25giae (1072)","defended by 902 and not very good at scoring against defense"
284,50,6305,red,TRUE,FALSE,"[2, 13]","['b', 'y']",1,0,0,0,0,0,2,0,2,1,1,"26mihirk (1072)","Wobbles after stopping, struggled with intake and only scored twice."
285,51,8262,blue,FALSE,FALSE,"[]","[]",0,0,0,0,92,0,0,0,0,0,0,"25atharvg (1072)","They were just bricked "
286,51,6918,red,TRUE,FALSE,"[22, 21]","['b', 'b']",0,0,2,16,8,0,2,1,2,3,2,"25giae (1072)",""
287,51,7419,blue,TRUE,FALSE,"[9, 8, 7]","['b', 'b', 'b']",0,0,1,0,0,0,2,1,2,2,0,"25agastyar (1072)","Has no intake"
288,51,6711,red,FALSE,FALSE,"[27, 8, 26, 25]","['b', 'b', 'b', 'b']",0,0,2,26,0,15,3,1,1,0,0,"26alberty (1072)","- seemed easy to tip over\n- placing mechanism doesn't work, tried doing def\n- not too good at def, slow and unstable\n- pretty resourceful driver, managed to push cubes on ground into rung\n- pretty slow on the climb as well"
289,51,6822,red,FALSE,FALSE,"[5]","['b']",1,2,0,0,0,0,2,2,1,1,0,"26mihirk (1072)","Only able to score preloaded cargo because intake failed. Relatively bad overall, somewhat decent at defense but not very effective."
290,51,5817,blue,TRUE,FALSE,"[8, 10, 12, 13]","['b', 'y', 'y', 'y']",0,2,2,6,0,16,0,0,0,0,0,"abbie s. (1072)","randomly started spinning during teleop— driver issue?"
291,52,5940,red,FALSE,FALSE,"[1, 13, 14, 4, 5, 6, 7, 8, 9]","['y', 'b', 'b', 'y', 'y', 'y', 'y', 'b', 'y']",1,0,2,8,5,0,4,2,3,4,4,"25giae (1072)",""
292,52,1828,blue,TRUE,FALSE,"[]","[]",0,0,2,16,0,93,0,0,0,0,0,"abbie s. (1072)",""
293,52,8033,blue,TRUE,FALSE,"[2, 5, 6, 14, 7, 8, 9, 4, 3, 1]","['b', 'b', 'b', 'b', 'b', 'b', 'y', 'b', 'b', 'b']",0,1,0,0,0,0,4,2,4,4,3,"25atharvg (1072)","I think they were going to go for a 3 team charging station endgame but they ran out of time because of their other teammates."
294,52,100,red,TRUE,FALSE,"[8, 27]","['b', 'y']",1,2,2,4,0,0,2,0,2,2,2,"26alberty (1072)","- nothing that stands out much tbh\n- solid team, high-mid tier"
295,52,670,blue,FALSE,FALSE,"[25, 24, 32, 22, 21, 20, 19]","['y', 'y', 'b', 'y', 'y', 'b', 'y']",0,0,2,0,0,0,4,0,3,3,4,"25agastyar (1072)",""
296,52,2473,red,TRUE,FALSE,"[26]","['b']",1,0,0,2,0,83,1,2,1,3,0,"26mihirk (1072)","I don't believe they ever tried to intake anything, but they tried to play defense for almost all of tele. Also unable to climb the charge station."
297,53,1671,red,TRUE,FALSE,"[6, 5, 22, 32, 14, 19]","['b', 'y', 'y', 'y', 'y', 'b']",0,0,2,16,6,0,4,2,3,3,3,"25giae (1072)",""
298,53,4738,blue,TRUE,FALSE,"[22, 21, 19, 24, 32]","['y', 'y', 'y', 'y', 'b']",0,0,2,0,0,0,3,0,3,3,3,"25agastyar (1072)","Good at scoring cones on the top row"
299,53,6238,blue,FALSE,FALSE,"[18]","['y']",1,0,2,6,0,70,0,1,0,0,0,"25atharvg (1072)","only played defense and really bad at it. Also had nunchucks hanging from it?"
300,53,4400,blue,TRUE,FALSE,"[3, 4, 5, 8]","['b', 'b', 'b', 'b']",0,2,2,14,0,0,0,0,0,0,0,"abbie s. (1072)",""
